phrase	n	count	loglik	pages	proper	example	loose_key	head_key
originali peccato	2	4	56.73	3	False	originali peccato	original peccat	peccat
humanum genus	2	4	56.63	4	False	humanum genus	human gen	gen
paulus diaconus	2	4	56.62	4	False	Paulus diaconus	paul diacon	diacon
ordinis benedict	2	3	56.62	3	False	ordinis Benedict	ordin benedict	benedict
matthaei florilegi	2	3	56.6	3	True	Matthaei Florilegi	matthae florileg	florileg
vulgati codices	2	3	56.6	3	False	vulgati codices	vulgat codic	codic
narrare pergit	2	3	56.6	3	False	narrare pergit	narrar pergit	pergit
pelagianum dogma	2	4	56.59	3	False	Pelagianum dogma	pelagian dogm	dogm
viginti octo	2	5	56.53	4	False	viginti octo	vigint oct	oct
capite vigesimo	2	5	56.5	5	False	capite vigesimo	capit vigesim	vigesim
sanctorum martyrum	2	5	56.18	5	False	sanctorum martyrum	sanct martyr	martyr
temporum ratio	2	4	56.1	4	False	temporum ratio	temp rati	rati
divi constantini	2	4	55.76	4	True	Divi Constantini	div constantin	constantin
distinctione secunda	2	3	55.65	3	False	distinctione secunda	distinction secund	secund
mariani scoti	2	3	55.61	3	True	Mariani Scoti	marian scot	scot
clarissimus vossius	2	3	55.61	3	False	clarissimus Vossius	clarissim vossi	vossi
ordericus vitalis	2	3	55.58	3	True	Ordericus Vitalis	orderic vital	vital
primae sedis	2	4	55.51	2	False	primae sedis	prim sed	sed
philippus ferrarius	2	3	55.22	3	True	Philippus Ferrarius	philipp ferrari	ferrari
petro equilino	2	3	55.22	3	True	Petro Equilino	petr equilin	equilin
rege lucio	2	6	54.92	5	False	rege Lucio	reg luci	luci
plinta consulibus	2	3	54.82	3	False	Plinta consulibus	plint consul	consul
reiensem episcopatum	2	3	54.82	3	False	Reiensem episcopatum	reiens episcopat	episcopat
secutus johannes	2	6	54.79	6	False	secutus Johannes	secut johann	johann
vir sanctus	2	5	54.66	5	False	vir sanctus	vir sanct	sanct
honore sanctae	2	5	54.46	5	False	honore sanctae	honor sanct	sanct
biennii spatio	2	3	54.44	3	False	biennii spatio	bienni spati	spati
