head_key	phrase	count	pages	proper	example
capgravi	johannes tinmuthensis et capgravius	3	2	False	Johannes Tinmuthensis et Capgravius
capit	quinto capite	4	4	False	quinto capite
capital	sententiam subiit capitalem	3	3	False	sententiam subiit capitalem
carthaginiens	aurelio carthaginiensi	3	3	True	Aurelio Carthaginiensi
carthaginiens	concilio carthaginiensi	3	3	False	concilio Carthaginiensi
cassian	johanne cassiano	3	3	True	Johanne Cassiano
cassian	johannes cassianus	3	3	True	Johannes Cassianus
castori	johannes castorius	4	4	True	Johannes Castorius
catalog	archiepiscoporum catalogo	6	6	False	archiepiscoporum catalogo
catalog	scriptorum catalogo	3	3	False	scriptorum catalogo
catalog	trevirensium archiepiscoporum catalogo	3	3	False	Trevirensium archiepiscoporum catalogo
cathedr	arelatensi cathedra	3	3	False	Arelatensi cathedra
cathedral	ecclesia cathedrali	3	3	False	ecclesia cathedrali
catholic	ecclesiae catholicae	5	4	False	Ecclesiae Catholicae
catholic	ecclesia catholica	4	4	False	ecclesia Catholica
catholic	fidei catholicae	5	5	False	fidei Catholicae
caxton	guilielmus caxtonus	3	3	True	Guilielmus Caxtonus
ccccxxix	anni ccccxxix	5	5	False	anni CCCCXXIX
ccccxxx	anno ccccxxx	3	3	False	anno CCCCXXX
celest	pelagium atque celestium	3	3	False	Pelagium atque Celestium
celest	pelagium celestium	4	4	True	Pelagium Celestium
celest	pelagium et celestium	8	7	False	Pelagium et Celestium
celesti	pelagii et celestii	5	4	False	Pelagii et Celestii
celesti	pelagius et celestius	4	4	False	Pelagius et Celestius
cent	anni mille centum	4	4	False	anni mille centum
cent	mille centum	6	5	False	mille centum
cent	passus centum	3	1	False	passus centum
cestrens	ranulphus cestrensis	12	12	True	Ranulphus Cestrensis
cestrens	ranulpho cestrensi	4	4	True	Ranulpho Cestrensi
christ	adventum christi	7	6	False	adventum Christi
christ	anno christi	18	16	False	anno Christi
christ	annum christi	16	15	False	annum Christi
christ	cultum christi	4	4	False	cultum Christi
